CommonName,Order,Group
Magpie Goose,Anseriformes,Ducks and Geese
Plumed Whistling-Duck,Anseriformes,Ducks and Geese
Wandering Whistling-Duck,Anseriformes,Ducks and Geese
Blue-billed Duck,Anseriformes,Ducks and Geese
Musk Duck,Anseriformes,Ducks and Geese
Freckled Duck,Anseriformes,Ducks and Geese
Mute Swan,Anseriformes,Swans
Black Swan,Anseriformes,Swans
Cape Barren Goose,Anseriformes,Ducks and Geese
Australian Shelduck,Anseriformes,Ducks and Geese
Australian Wood Duck,Anseriformes,Ducks and Geese
Green Pigmy-Goose,Anseriformes,Ducks and Geese
Pacific Black Duck,Anseriformes,Ducks and Geese
Australasian Shoveler,Anseriformes,Ducks and Geese
Grey Teal,Anseriformes,Ducks and Geese
Chestnut Teal,Anseriformes,Ducks and Geese
Northern Pintail,Anseriformes,Ducks and Geese
Garganey,Anseriformes,Ducks and Geese
Pink-eared Duck,Anseriformes,Ducks and Geese
Hardhead,Anseriformes,Ducks and Geese
Unidentified duck,Anseriformes,Ducks and Geese
Burdekin Duck ( = Radjah Duck),Anseriformes,Ducks and Geese
Northern Shoveller,Anseriformes,Ducks and Geese
Mallard/Domestic,Anseriformes,Ducks and Geese
Gallinago Snipe,Charadriiformes,Shorebirds
Pin-tailed Snipe,Charadriiformes,Shorebirds
Black-tailed Godwit,Charadriiformes,Shorebirds
Bar-tailed Godwit,Charadriiformes,Shorebirds
Little Curlew,Charadriiformes,Shorebirds
Whimbrel,Charadriiformes,Shorebirds
Eastern Curlew,Charadriiformes,Shorebirds
Common Redshank,Charadriiformes,Shorebirds
Marsh Sandpiper,Charadriiformes,Shorebirds
Common Greenshank,Charadriiformes,Shorebirds
Wood Sandpiper,Charadriiformes,Shorebirds
Terek Sandpiper,Charadriiformes,Shorebirds
Common Sandpiper,Charadriiformes,Shorebirds
Grey-tailed Tattler,Charadriiformes,Shorebirds
Ruddy Turnstone,Charadriiformes,Shorebirds
Asian Dowitcher,Charadriiformes,Shorebirds
Great Knot,Charadriiformes,Shorebirds
Red Knot,Charadriiformes,Shorebirds
Sanderling,Charadriiformes,Shorebirds
Little Stint,Charadriiformes,Shorebirds
Red-necked Stint,Charadriiformes,Shorebirds
Long-toed Stint,Charadriiformes,Shorebirds
White-rumped Sandpiper,Charadriiformes,Shorebirds
Baird's Sandpiper,Charadriiformes,Shorebirds
Pectoral Sandpiper,Charadriiformes,Shorebirds
Sharp-tailed Sandpiper,Charadriiformes,Shorebirds
Curlew Sandpiper,Charadriiformes,Shorebirds
Buff-breasted Sandpiper,Charadriiformes,Shorebirds
Broad-billed Sandpiper,Charadriiformes,Shorebirds
Ruff,Charadriiformes,Shorebirds
Red-necked Phalarope,Charadriiformes,Shorebirds
Painted Snipe,Charadriiformes,Shorebirds
Comb-crested Jacana,Charadriiformes,Shorebirds
Beach Stone-curlew,Charadriiformes,Shorebirds
Pied Oystercatcher,Charadriiformes,Shorebirds
Black-winged Stilt,Charadriiformes,Shorebirds
Banded Stilt,Charadriiformes,Shorebirds
Red-necked Avocet,Charadriiformes,Shorebirds
Pacific Golden Plover,Charadriiformes,Shorebirds
Grey Plover,Charadriiformes,Shorebirds
Little Ringed Plover,Charadriiformes,Shorebirds
Red-capped Plover,Charadriiformes,Shorebirds
Greater Sand Plover,Charadriiformes,Shorebirds
Oriental Plover,Charadriiformes,Shorebirds
Inland Dotterel,Charadriiformes,Shorebirds
