Date,Ewans,Mullet,Station,Wheatfield,Woody,Windabout,Warden         
8/05/2002,,,0.56,1.38,,,
15/05/2002,,,0.6,1.36,,,
21/05/2002,,,0.64,1.36,,,
29/05/2002,,,0.7,1.38,,,
5/06/2002,,,0.72,1.38,,,
13/06/2002,,,0.76,1.4,,,
20/06/2002,,,0.74,1.42,,,1.9
25/06/2002,,,0.74,1.42,,,1.9
2/07/2002,,,0.76,1.44,,,1.9
10/07/2002,,,0.76,1.46,,,1.9
16/07/2002,,,0.74,1.54,,,1.92
24/07/2002,,,0.74,1.52,,,1.92
31/07/2002,,,0.72,1.56,,,1.92
7/08/2002,,,0.74,1.56,,,1.92
13/08/2002,,,0.74,1.56,,,1.94
19/08/2002,,,0.72,1.56,,,2
27/08/2002,,,0.76,1.58,,,1.98
4/09/2002,,,0.76,1.58,,,1.98
12/09/2002,,,0.74,1.56,,,2
17/09/2002,,,0.74,1.56,,,2
24/09/2002,,,0.73,1.58,,,2.08
2/10/2002,,,0.7,1.52,,,2
8/10/2002,,,0.73,1.54,,,2
17/10/2002,,,0.71,1.51,,,2
23/10/2002,,,0.7,1.48,,,1.96
30/10/2002,,,0.68,1.45,,,1.94
6/11/2002,,,0.68,1.45,,,1.92
12/11/2002,,,0.65,1.41,,,1.88
19/11/2002,,,0.64,1.37,,,1.83
28/11/2002,,,0.6,1.41,,,1.81
4/12/2002,,,0.63,1.37,,,1.75
12/12/2002,,,0.61,1.31,,,1.71
18/12/2002,,,0.58,1.32,,,1.7
23/12/2002,,,0.56,1.26,,,1.68
30/12/2002,,,0.55,1.3,,,1.68
7/01/2003,,,0.56,1.28,,,1.62
16/01/2003,,,0.52,1.24,,,1.55
22/01/2003,,,0.48,1.18,,,1.5
29/01/2003,,,0.44,1.17,,,1.5
4/02/2003,,,0.38,1.11,,,1.43
12/02/2003,,,0.31,1.07,,,1.37
20/02/2003,,,0.3,1,,,1.37
28/02/2003,,,0.25,0.98,,,1.32
5/03/2003,,,0.23,0.98,,,1.29
12/03/2003,,,0.2,0.96,,,1.26
25/03/2003,,,0.15,0.95,,,1.2
4/04/2003,,,0.06,0.94,,,1.18
9/04/2003,,,0.08,0.96,,,1.2
15/04/2003,,,0.27,1.04,,,1.21
23/04/2003,,,0.7,1.04,,,1.2
2/05/2003,0.82,,0.7,1.04,1.17,,1.17
6/05/2003,0.8,,0.69,1.04,1.15,,1.17
12/05/2003,0.84,,0.71,1.06,1.18,,1.15
22/05/2003,0.9,1,0.76,1.32,1.44,,1.2
5/06/2003,0.94,1.2,0.76,1.44,1.52,,1.28
13/06/2003,1,1.35,0.78,1.45,1.57,1.43,1.3
17/06/2003,1,1.4,0.78,1.44,1.56,1.52,1.3
24/06/2003,0.94,1.36,0.76,1.37,1.47,1.6,1.3
3/07/2003,0.94,1.35,0.74,1.35,1.46,1.66,1.35
10/07/2003,0.96,1.35,0.76,1.37,1.46,1.74,1.32
18/07/2003,1,1.45,0.81,1.62,1.73,1.92,1.44
24/07/2003,1,1.58,0.95,1.9,2,2,1.7
1/08/2003,1,1.41,0.8,1.8,1.92,2,1.75
15/08/2003,1,1.39,0.76,1.76,1.88,2,1.92
21/08/2003,1,1.4,0.79,1.84,1.93,2,2
27/08/2003,1,1.42,0.8,1.86,1.96,2,2.08
5/09/2003,0.96,1.38,0.76,1.76,1.86,2,2.16
9/09/2003,0.96,1.38,0.77,1.8,1.88,2,2.2
19/09/2003,0.98,1.39,0.75,1.73,1.85,2,2.31
24/09/2003,0.96,1.38,0.78,1.72,1.8,2,2.35
1/10/2003,1.22,1.52,0.81,2.02,2,2,2.42
9/10/2003,1.04,1.43,0.76,1.99,2.11,2.36,2.52
17/10/2003,1,1.38,0.75,1.94,2.02,2.3,2.56
22/10/2003,0.94,1.38,0.74,1.91,2.01,2.27,2.56
31/10/2003,0.93,1.36,0.72,1.9,2,2.25,2.54
7/11/2003,0.91,1.34,0.7,1.86,1.97,2.22,2.53
11/11/2003,0.88,1.33,0.69,1.86,1.95,2.2,2.51
18/11/2003,0.88,1.31,0.68,1.82,1.91,2.19,2.47
25/11/2003,0.89,1.31,0.71,1.81,1.92,2.17,2.48
10/12/2003,0.83,1.31,0.69,1.75,1.86,2.12,2.41
17/12/2003,0.8,1.26,0.68,1.69,1.82,2.08,2.35
22/12/2003,0.8,1.23,0.68,1.69,1.79,2.04,2.35
30/12/2003,0.77,1.18,0.61,1.64,1.74,2,2.31
5/01/2004,0.78,1.15,0.6,1.6,1.71,1.98,2.29
15/01/2004,0.78,1.12,0.59,1.57,1.68,1.93,2.25
22/01/2004,0.77,1.08,0.53,1.51,1.63,1.89,2.2
30/01/2004,0.79,1.04,0.5,1.5,1.6,1.86,2.18
5/02/2004,0.76,0.99,0.45,1.46,1.57,1.82,2.14
17/02/2004,0.8,0.93,0.4,1.42,1.54,1.78,2.09
4/03/2004,0.79,0.87,0.35,1.38,1.48,1.72,2.03
9/03/2004,0.79,0.85,0.36,1.36,1.49,1.7,2.02
16/03/2004,0.82,0.84,0.5,1.38,1.49,1.69,1.99
30/03/2004,0.79,0.8,0.54,1.36,1.47,1.64,1.94
8/04/2004,0.79,0.76,0.51,1.32,1.45,1.62,1.91
20/04/2004,0.84,0.76,0.61,1.38,1.49,1.59,1.92
12/05/2004,0.86,0.76,0.69,1.42,1.55,1.59,1.9
26/05/2004,0.92,0.92,0.75,1.42,1.53,1.76,1.93
1/06/2004,0.88,0.93,0.73,1.42,1.53,1.78,1.92
8/06/2004,0.89,0.94,0.75,1.45,1.56,1.8,1.94
15/06/2004,0.89,0.95,0.75,1.47,1.58,1.83,1.97
22/06/2004,0.89,1,0.75,1.49,1.6,1.84,1.98
30/06/2004,0.92,1.04,0.74,1.54,1.63,1.89,1.98
6/07/2004,0.93,1.09,0.74,1.55,1.66,1.91,1.98
22/07/2004,0.89,1.21,0.74,1.56,1.67,1.95,2.03
28/07/2004,0.92,1.23,0.74,1.59,1.7,1.96,2.03
4/08/2004,1,1.32,0.76,1.64,1.74,1.99,2.08
24/08/2004,0.97,1.37,0.79,1.68,1.77,2,2.27
2/09/2004,0.98,1.39,0.79,1.69,1.79,2.03,2.27
17/09/2004,0.97,1.4,0.76,1.73,1.83,2.08,2.35
1/10/2004,0.87,1.32,0.72,1.67,1.79,2.02,2.33
14/10/2004,,,,,,,
25/10/2004,0.78,1.06,0.64,1.38,1.54,1.82,2.1
9/11/2004,,,,,,,
22/11/2004,,,,,,,
6/12/2004,0.76,0.96,0.5,1.32,1.46,1.72,2.02
24/12/2004,0.66,0.82,0.38,1.18,1.28,1.6,1.86
7/01/2005,0.68,0.7,0.26,1.15,1.28,1.52,1.78
21/01/2005,0.64,,0.2,1.1,1.19,1.41,1.71
7/02/2005,0.62,0.64,0.12,0.77,1.02,1.32,1.58
21/02/2005,0.61,,0,0.75,1.2,1.29,1.48
9/03/2005,0.65,,0,1.45,1.7,1.2,1.51
21/03/2005,0.66,,0,1.4,2.1,1.15,1.44
4/04/2005,0.99,,0.24,1.16,1.26,1.24,1.48
18/04/2005,0.82,,0.55,1.18,1.27,1.2,1.46
3/05/2005,0.84,0.64,0.6,1.21,1.29,1.2,1.44
19/05/2005,0.88,0.76,0.74,1.34,1.45,1.34,1.48
30/05/2005,0.85,0.76,0.72,1.28,1.41,1.41,1.45
14/06/2005,0.9,1.4,0.8,1.82,1.92,1.84,2.68
11/07/2005,0.98,1.4,0.74,1.79,1.9,2.5,2.1
25/07/2005,0.9,1.36,0.72,1.7,1.78,2,2.2
9/08/2005,0.9,1.35,0.74,1.65,1.78,2,2.26
6/09/2005,0.97,1.38,0.77,1.8,1.9,2.3,2.45
19/09/2005,0.98,1.38,0.7,1.84,1.98,2.15,2.5
4/10/2005,1,1.4,0.78,1.98,2.1,,2.5
