System,SurveyType,SiteName,SiteCode,Subsite,Date,CommonName,SpeciesCode,Count
Warden,aerial,Neridup Suite,WRP001,combined,11/10/2006,Great Egret,greg,1
Warden,aerial,Neridup Suite,WRP001,combined,11/10/2006,Little Pied Cormorant,lpco,1
Warden,aerial,Neridup Suite,WRP001,combined,11/10/2006,Pacific Black Duck,pbdu,14
Warden,aerial,Bandy Creek Suite,WRP002,combined,11/10/2006,Australian Shelduck,shel,107
Warden,aerial,Bandy Creek Suite,WRP002,combined,11/10/2006,Banded Stilt,bast,30
Warden,aerial,Bandy Creek Suite,WRP002,combined,11/10/2006,Black Swan,blsw,38
Warden,aerial,Bandy Creek Suite,WRP002,combined,11/10/2006,Black-winged Stilt,bwst,6
Warden,aerial,Bandy Creek Suite,WRP002,combined,11/10/2006,Chestnut Teal,chte,87
Warden,aerial,Bandy Creek Suite,WRP002,combined,11/10/2006,Great Egret,greg,7
Warden,aerial,Bandy Creek Suite,WRP002,combined,11/10/2006,Grey Teal,grte,158
Warden,aerial,Bandy Creek Suite,WRP002,combined,11/10/2006,Little Black Cormorant,lbco,3
Warden,aerial,Bandy Creek Suite,WRP002,combined,11/10/2006,Little Pied Cormorant,lpco,1
Warden,aerial,Bandy Creek Suite,WRP002,combined,11/10/2006,Pacific Black Duck,pbdu,185
Warden,aerial,Bandy Creek Suite,WRP002,combined,11/10/2006,Straw-necked Ibis,snib,3
Warden,aerial,Bandy Creek Suite,WRP002,combined,11/10/2006,White-faced Heron,wfhe,23
Warden,aerial,Ewens Lake,WRP003,main lake only,11/10/2006,Australasian Shoveler,shov,20
Warden,aerial,Ewens Lake,WRP003,main lake only,11/10/2006,Australian Shelduck,shel,482
Warden,aerial,Ewens Lake,WRP003,main lake only,11/10/2006,Banded Stilt,bast,12
Warden,aerial,Ewens Lake,WRP003,main lake only,11/10/2006,Black Swan,blsw,35
Warden,aerial,Ewens Lake,WRP003,main lake only,11/10/2006,Chestnut Teal,chte,35
Warden,aerial,Ewens Lake,WRP003,main lake only,11/10/2006,Common Greenshank,gree,8
Warden,aerial,Ewens Lake,WRP003,main lake only,11/10/2006,Great Egret,greg,6
Warden,aerial,Ewens Lake,WRP003,main lake only,11/10/2006,Grey Teal,grte,60
Warden,aerial,Ewens Lake,WRP003,main lake only,11/10/2006,Little Black Cormorant,lbco,5
Warden,aerial,Ewens Lake,WRP003,main lake only,11/10/2006,Little Pied Cormorant,lpco,1
Warden,aerial,Ewens Lake,WRP003,main lake only,11/10/2006,Pacific Black Duck,pbdu,56
Warden,aerial,Ewens Lake,WRP003,main lake only,11/10/2006,Straw-necked Ibis,snib,1
Warden,aerial,Ewens Lake,WRP003,main lake only,11/10/2006,Unidentified wader,uiwa,15
Warden,aerial,North Wheatfield Suite,WRP008,combined,11/10/2006,Australian White Ibis,awib,1
Warden,aerial,North Wheatfield Suite,WRP008,combined,11/10/2006,Common Greenshank,gree,1
Warden,aerial,North Wheatfield Suite,WRP008,combined,11/10/2006,Great Egret,greg,1
Warden,aerial,North Wheatfield Suite,WRP008,combined,11/10/2006,Little Black Cormorant,lbco,6
Warden,aerial,North Wheatfield Suite,WRP008,combined,11/10/2006,Little Pied Cormorant,lpco,1
Warden,aerial,North Wheatfield Suite,WRP008,combined,11/10/2006,White-faced Heron,wfhe,1
Warden,ground,North Windabout Suite,WRP011,A,11/10/2006,Australasian Shoveler,shov,46
Warden,ground,North Windabout Suite,WRP011,A,11/10/2006,Australian Shelduck,shel,169
Warden,ground,North Windabout Suite,WRP011,A,11/10/2006,Black Swan,blsw,77
Warden,ground,North Windabout Suite,WRP011,A,11/10/2006,Great Crested Grebe,gcgr,1
Warden,ground,North Windabout Suite,WRP011,A,11/10/2006,Great Egret,greg,4
Warden,ground,North Windabout Suite,WRP011,A,11/10/2006,Grey Teal,grte,1
Warden,ground,North Windabout Suite,WRP011,A,11/10/2006,Hoary-headed Grebe,hhgr,17
Warden,ground,North Windabout Suite,WRP011,A,11/10/2006,Hooded Plover,hopl,2
Warden,ground,North Windabout Suite,WRP011,A,11/10/2006,Musk Duck,mudu,1
Warden,ground,North Windabout Suite,WRP011,A,11/10/2006,Pacific Black Duck,pbdu,40
Warden,ground,North Windabout Suite,WRP011,A,11/10/2006,Red-capped Plover,rcpl,9
Warden,ground,North Windabout Suite,WRP011,A,11/10/2006,Red-necked Avocet,rnav,6
Warden,ground,North Windabout Suite,WRP011,A,11/10/2006,Red-necked Stint,rnst,41
Warden,ground,North Windabout Suite,WRP011,A,11/10/2006,White-faced Heron,wfhe,5
Warden,ground,Lake Warden Suite,WRP013,A,11/10/2006,Great Crested Grebe,gcgr,1
Warden,ground,Lake Warden Suite,WRP013,A,11/10/2006,Hoary-headed Grebe,hhgr,2
Warden,ground,Lake Warden Suite,WRP013,A,11/10/2006,Musk Duck,mudu,5
Warden,ground,Lake Warden Suite,WRP013,A,11/10/2006,White-faced Heron,wfhe,1
Warden,ground,Burkenup Suite,WRP014,A,11/10/2006,Australian White Ibis,awib,1
